#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   139    0.39281E+04   -0.42624E+02    0.12013E-04   -0.42624E+02    0.10527E+01   -0.84568E-06    0.12013E-04   -0.84568E-06    0.82740E-07
   140    0.39613E+04   -0.42878E+02    0.14011E-04   -0.42878E+02    0.10527E+01   -0.84000E-06    0.14011E-04   -0.84000E-06    0.82180E-07
   141    0.39942E+04   -0.43110E+02    0.15958E-04   -0.43110E+02    0.10521E+01   -0.83326E-06    0.15958E-04   -0.83326E-06    0.81625E-07
   142    0.40271E+04   -0.43323E+02    0.17854E-04   -0.43323E+02    0.10511E+01   -0.82564E-06    0.17854E-04   -0.82564E-06    0.81076E-07
   143    0.40599E+04   -0.43516E+02    0.19698E-04   -0.43516E+02    0.10497E+01   -0.81734E-06    0.19698E-04   -0.81734E-06    0.80533E-07
   144    0.40926E+04   -0.43689E+02    0.21490E-04   -0.43689E+02    0.10478E+01   -0.80854E-06    0.21490E-04   -0.80854E-06    0.79995E-07
   145    0.41250E+04   -0.43840E+02    0.23227E-04   -0.43840E+02    0.10455E+01   -0.79942E-06    0.23227E-04   -0.79942E-06    0.79462E-07
   146    0.41576E+04   -0.43970E+02    0.24909E-04   -0.43970E+02    0.10427E+01   -0.79017E-06    0.24909E-04   -0.79017E-06    0.78935E-07
   147    0.41898E+04   -0.44078E+02    0.26536E-04   -0.44078E+02    0.10395E+01   -0.78099E-06    0.26536E-04   -0.78099E-06    0.78413E-07
   148    0.42218E+04   -0.44164E+02    0.28106E-04   -0.44164E+02    0.10358E+01   -0.77205E-06    0.28106E-04   -0.77205E-06    0.77896E-07
   149    0.42538E+04   -0.44228E+02    0.29619E-04   -0.44228E+02    0.10317E+01   -0.76355E-06    0.29619E-04   -0.76355E-06    0.77384E-07
   150    0.42855E+04   -0.44267E+02    0.31074E-04   -0.44267E+02    0.10272E+01   -0.75567E-06    0.31074E-04   -0.75567E-06    0.76877E-07
   151    0.43170E+04   -0.44284E+02    0.32469E-04   -0.44284E+02    0.10224E+01   -0.74856E-06    0.32469E-04   -0.74856E-06    0.76375E-07
   152    0.43483E+04   -0.44278E+02    0.33808E-04   -0.44278E+02    0.10170E+01   -0.74219E-06    0.33808E-04   -0.74219E-06    0.75879E-07
   153    0.43794E+04   -0.44247E+02    0.35090E-04   -0.44247E+02    0.10112E+01   -0.73651E-06    0.35090E-04   -0.73651E-06    0.75387E-07
   154    0.44103E+04   -0.44192E+02    0.36317E-04   -0.44192E+02    0.10051E+01   -0.73144E-06    0.36317E-04   -0.73144E-06    0.74900E-07
   155    0.44410E+04   -0.44113E+02    0.37492E-04   -0.44113E+02    0.99870E+00   -0.72693E-06    0.37492E-04   -0.72693E-06    0.74417E-07
   156    0.44713E+04   -0.44010E+02    0.38615E-04   -0.44010E+02    0.99191E+00   -0.72292E-06    0.38615E-04   -0.72292E-06    0.73940E-07
   157    0.45016E+04   -0.43882E+02    0.39688E-04   -0.43882E+02    0.98476E+00   -0.71933E-06    0.39688E-04   -0.71933E-06    0.73467E-07
   158    0.45315E+04   -0.43728E+02    0.40713E-04   -0.43728E+02    0.97734E+00   -0.71611E-06    0.40713E-04   -0.71611E-06    0.72998E-07
   159    0.45612E+04   -0.43551E+02    0.41692E-04   -0.43551E+02    0.96948E+00   -0.71320E-06    0.41692E-04   -0.71320E-06    0.72534E-07
   160    0.45906E+04   -0.43346E+02    0.42625E-04   -0.43346E+02    0.96135E+00   -0.71052E-06    0.42625E-04   -0.71052E-06    0.72075E-07
   161    0.46198E+04   -0.43117E+02    0.43515E-04   -0.43117E+02    0.95302E+00   -0.70803E-06    0.43515E-04   -0.70803E-06    0.71620E-07
   162    0.46488E+04   -0.42863E+02    0.44362E-04   -0.42863E+02    0.94433E+00   -0.70564E-06    0.44362E-04   -0.70564E-06    0.71170E-07
   163    0.46775E+04   -0.42583E+02    0.45170E-04   -0.42583E+02    0.93536E+00   -0.70331E-06    0.45170E-04   -0.70331E-06    0.70724E-07
   164    0.47058E+04   -0.42278E+02    0.45938E-04   -0.42278E+02    0.92619E+00   -0.70096E-06    0.45938E-04   -0.70096E-06    0.70282E-07
   165    0.47340E+04   -0.41946E+02    0.46669E-04   -0.41946E+02    0.91673E+00   -0.69854E-06    0.46669E-04   -0.69854E-06    0.69845E-07
   166    0.47619E+04   -0.41589E+02    0.47364E-04   -0.41589E+02    0.90714E+00   -0.69598E-06    0.47364E-04   -0.69598E-06    0.69411E-07
   167    0.47895E+04   -0.41207E+02    0.48025E-04   -0.41207E+02    0.89720E+00   -0.69322E-06    0.48025E-04   -0.69322E-06    0.68982E-07
   168    0.48167E+04   -0.40797E+02    0.48653E-04   -0.40797E+02    0.88727E+00   -0.69020E-06    0.48653E-04   -0.69020E-06    0.68557E-07
   169    0.48436E+04   -0.40361E+02    0.49250E-04   -0.40361E+02    0.87706E+00   -0.68684E-06    0.49250E-04   -0.68684E-06    0.68136E-07
   170    0.48702E+04   -0.39898E+02    0.49818E-04   -0.39898E+02    0.86679E+00   -0.68310E-06    0.49818E-04   -0.68310E-06    0.67719E-07
   171    0.48963E+04   -0.39409E+02    0.50357E-04   -0.39409E+02    0.85646E+00   -0.67890E-06    0.50357E-04   -0.67890E-06    0.67306E-07
   172    0.49221E+04   -0.38892E+02    0.50870E-04   -0.38892E+02    0.84600E+00   -0.67418E-06    0.50870E-04   -0.67418E-06    0.66897E-07
