#    L    TT             EE             TE             PP             TP          
   272    0.48241E+04    0.45809E+01    0.94062E+02    0.18312E+07    0.11801E+04
   273    0.47968E+04    0.47087E+01    0.95263E+02    0.18229E+07    0.11854E+04
   274    0.47692E+04    0.48389E+01    0.96427E+02    0.18147E+07    0.11906E+04
   275    0.47412E+04    0.49708E+01    0.97577E+02    0.18065E+07    0.11958E+04
   276    0.47131E+04    0.51049E+01    0.98689E+02    0.17985E+07    0.12009E+04
   277    0.46845E+04    0.52409E+01    0.99788E+02    0.17904E+07    0.12058E+04
   278    0.46556E+04    0.53790E+01    0.10085E+03    0.17825E+07    0.12107E+04
   279    0.46265E+04    0.55189E+01    0.10188E+03    0.17745E+07    0.12154E+04
   280    0.45970E+04    0.56608E+01    0.10290E+03    0.17667E+07    0.12200E+04
   281    0.45675E+04    0.58046E+01    0.10388E+03    0.17589E+07    0.12244E+04
   282    0.45374E+04    0.59501E+01    0.10483E+03    0.17511E+07    0.12287E+04
   283    0.45073E+04    0.60975E+01    0.10576E+03    0.17434E+07    0.12328E+04
   284    0.44769E+04    0.62467E+01    0.10665E+03    0.17358E+07    0.12367E+04
   285    0.44462E+04    0.63978E+01    0.10751E+03    0.17282E+07    0.12404E+04
   286    0.44153E+04    0.65505E+01    0.10834E+03    0.17206E+07    0.12439E+04
   287    0.43842E+04    0.67050E+01    0.10915E+03    0.17131E+07    0.12473E+04
   288    0.43529E+04    0.68611E+01    0.10992E+03    0.17057E+07    0.12503E+04
   289    0.43214E+04    0.70188E+01    0.11066E+03    0.16983E+07    0.12532E+04
   290    0.42897E+04    0.71780E+01    0.11137E+03    0.16910E+07    0.12557E+04
   291    0.42579E+04    0.73393E+01    0.11203E+03    0.16837E+07    0.12581E+04
   292    0.42257E+04    0.75018E+01    0.11268E+03    0.16765E+07    0.12601E+04
   293    0.41936E+04    0.76650E+01    0.11328E+03    0.16693E+07    0.12619E+04
   294    0.41612E+04    0.78304E+01    0.11386E+03    0.16621E+07    0.12633E+04
   295    0.41289E+04    0.79965E+01    0.11440E+03    0.16550E+07    0.12645E+04
   296    0.40963E+04    0.81649E+01    0.11490E+03    0.16480E+07    0.12653E+04
   297    0.40636E+04    0.83332E+01    0.11538E+03    0.16410E+07    0.12658E+04
   298    0.40306E+04    0.85037E+01    0.11581E+03    0.16340E+07    0.12660E+04
   299    0.39977E+04    0.86757E+01    0.11621E+03    0.16271E+07    0.12658E+04
   300    0.39647E+04    0.88477E+01    0.11657E+03    0.16203E+07    0.12653E+04
   301    0.39315E+04    0.90211E+01    0.11690E+03    0.16134E+07    0.12644E+04
   302    0.38984E+04    0.91953E+01    0.11721E+03    0.16067E+07    0.12631E+04
   303    0.38652E+04    0.93709E+01    0.11746E+03    0.15999E+07    0.12614E+04
   304    0.38319E+04    0.95480E+01    0.11768E+03    0.15932E+07    0.12594E+04
   305    0.37986E+04    0.97251E+01    0.11787E+03    0.15866E+07    0.12571E+04
   306    0.37653E+04    0.99029E+01    0.11801E+03    0.15800E+07    0.12545E+04
   307    0.37319E+04    0.10082E+02    0.11812E+03    0.15734E+07    0.12515E+04
   308    0.36986E+04    0.10262E+02    0.11820E+03    0.15669E+07    0.12482E+04
   309    0.36653E+04    0.10442E+02    0.11824E+03    0.15604E+07    0.12447E+04
   310    0.36319E+04    0.10622E+02    0.11824E+03    0.15540E+07    0.12408E+04
   311    0.35986E+04    0.10805E+02    0.11820E+03    0.15476E+07    0.12367E+04
   312    0.35654E+04    0.10986E+02    0.11813E+03    0.15412E+07    0.12323E+04
   313    0.35322E+04    0.11168E+02    0.11801E+03    0.15349E+07    0.12276E+04
   314    0.34991E+04    0.11351E+02    0.11787E+03    0.15286E+07    0.12227E+04
   315    0.34660E+04    0.11534E+02    0.11768E+03    0.15223E+07    0.12176E+04
   316    0.34330E+04    0.11717E+02    0.11746E+03    0.15161E+07    0.12122E+04
   317    0.34001E+04    0.11899E+02    0.11720E+03    0.15100E+07    0.12067E+04
