#    L    TT             EE             TE             PP             TP          
   294    0.42715E+04    0.80669E+01    0.11646E+03    0.21049E+07   -0.13169E+03
   295    0.42384E+04    0.82384E+01    0.11701E+03    0.20958E+07   -0.12900E+03
   296    0.42051E+04    0.84121E+01    0.11753E+03    0.20868E+07   -0.12639E+03
   297    0.41716E+04    0.85858E+01    0.11801E+03    0.20779E+07   -0.12385E+03
   298    0.41379E+04    0.87618E+01    0.11846E+03    0.20690E+07   -0.12138E+03
   299    0.41043E+04    0.89393E+01    0.11886E+03    0.20602E+07   -0.11897E+03
   300    0.40704E+04    0.91169E+01    0.11923E+03    0.20514E+07   -0.11662E+03
   301    0.40366E+04    0.92959E+01    0.11956E+03    0.20427E+07   -0.11432E+03
   302    0.40027E+04    0.94757E+01    0.11987E+03    0.20340E+07   -0.11206E+03
   303    0.39687E+04    0.96570E+01    0.12013E+03    0.20254E+07   -0.10984E+03
   304    0.39346E+04    0.98399E+01    0.12035E+03    0.20169E+07   -0.10768E+03
   305    0.39006E+04    0.10023E+02    0.12053E+03    0.20084E+07   -0.10555E+03
   306    0.38665E+04    0.10206E+02    0.12068E+03    0.19999E+07   -0.10348E+03
   307    0.38324E+04    0.10391E+02    0.12078E+03    0.19915E+07   -0.10144E+03
   308    0.37983E+04    0.10577E+02    0.12086E+03    0.19832E+07   -0.99451E+02
   309    0.37642E+04    0.10763E+02    0.12088E+03    0.19749E+07   -0.97502E+02
   310    0.37301E+04    0.10949E+02    0.12088E+03    0.19666E+07   -0.95595E+02
   311    0.36961E+04    0.11137E+02    0.12083E+03    0.19585E+07   -0.93729E+02
   312    0.36621E+04    0.11325E+02    0.12075E+03    0.19503E+07   -0.91904E+02
