#    L    TT             EE             BB             TE          
   369    0.20917E+04    0.20356E+02    0.46195E-01    0.57849E+02
   370    0.20743E+04    0.20449E+02    0.46328E-01    0.56032E+02
   371    0.20573E+04    0.20539E+02    0.46462E-01    0.54200E+02
   372    0.20408E+04    0.20625E+02    0.46595E-01    0.52357E+02
   373    0.20246E+04    0.20708E+02    0.46729E-01    0.50501E+02
   374    0.20090E+04    0.20788E+02    0.46863E-01    0.48634E+02
   375    0.19937E+04    0.20864E+02    0.46997E-01    0.46758E+02
   376    0.19789E+04    0.20937E+02    0.47131E-01    0.44871E+02
   377    0.19646E+04    0.21006E+02    0.47265E-01    0.42977E+02
   378    0.19506E+04    0.21071E+02    0.47400E-01    0.41074E+02
   379    0.19371E+04    0.21132E+02    0.47535E-01    0.39164E+02
   380    0.19241E+04    0.21191E+02    0.47671E-01    0.37247E+02
   381    0.19115E+04    0.21244E+02    0.47807E-01    0.35325E+02
   382    0.18993E+04    0.21295E+02    0.47943E-01    0.33399E+02
   383    0.18875E+04    0.21341E+02    0.48079E-01    0.31468E+02
   384    0.18763E+04    0.21383E+02    0.48216E-01    0.29535E+02
   385    0.18654E+04    0.21423E+02    0.48354E-01    0.27598E+02
   386    0.18551E+04    0.21458E+02    0.48491E-01    0.25661E+02
   387    0.18451E+04    0.21489E+02    0.48630E-01    0.23722E+02
   388    0.18355E+04    0.21516E+02    0.48768E-01    0.21784E+02
   389    0.18264E+04    0.21537E+02    0.48908E-01    0.19846E+02
   390    0.18177E+04    0.21557E+02    0.49048E-01    0.17910E+02
   391    0.18095E+04    0.21573E+02    0.49188E-01    0.15976E+02
   392    0.18017E+04    0.21586E+02    0.49329E-01    0.14047E+02
   393    0.17944E+04    0.21594E+02    0.49471E-01    0.12120E+02
